,SEX,AGE,POPESTIMATE2014
0,0,0,3949775
1,0,1,3949776
2,0,2,3959664
3,0,3,4007079
4,0,4,4005716
5,0,5,4006900
6,0,6,4135930
7,0,7,4155326
8,0,8,4120903
9,0,9,4108349
10,0,10,4116942
11,0,11,4087402
12,0,12,4070682
13,0,13,4171030
14,0,14,4233839
15,0,15,4164796
16,0,16,4168559
17,0,17,4186513
18,0,18,4227920
19,0,19,4329038
20,0,20,4421330
21,0,21,4492373
22,0,22,4615729
23,0,23,4702156
24,0,24,4695411
25,0,25,4511370
26,0,26,4408043
27,0,27,4334806
28,0,28,4355240
29,0,29,4391788
30,0,30,4255334
31,0,31,4323217
32,0,32,4323951
33,0,33,4278664
34,0,34,4364748
35,0,35,4095782
36,0,36,4016711
37,0,37,3976750
38,0,38,3861636
39,0,39,3982507
40,0,40,3859395
41,0,41,3919810
42,0,42,4097698
43,0,43,4333850
44,0,44,4390283
45,0,45,4162629
46,0,46,4077151
47,0,47,4082883
48,0,48,4159738
49,0,49,4410246
50,0,50,4492407
51,0,51,4489393
52,0,52,4480188
53,0,53,4535430
54,0,54,4574760
55,0,55,4421856
56,0,56,4395949
57,0,57,4347023
58,0,58,4191360
59,0,59,4155521
60,0,60,3985598
61,0,61,3834367
62,0,62,3685282
63,0,63,3571610
64,0,64,3487559
65,0,65,3382824
66,0,66,3347060
67,0,67,3485241
68,0,68,2572359
69,0,69,2534295
70,0,70,2465438
71,0,71,2519705
72,0,72,2193945
73,0,73,2001700
74,0,74,1889513
75,0,75,1773756
76,0,76,1693674
77,0,77,1556104
78,0,78,1480611
79,0,79,1413193
80,0,80,1262537
81,0,81,1214357
82,0,82,1151677
83,0,83,1088601
84,0,84,1034369
85,0,85,922947
86,0,86,853723
87,0,87,768676
88,0,88,673402
89,0,89,597828
90,0,90,511074
91,0,91,425314
92,0,92,352912
93,0,93,284885
94,0,94,217328
95,0,95,156288
96,0,96,120485
97,0,97,83089
98,0,98,59726
99,0,99,41468
100,0,100,71626
101,0,999,318907401
102,1,0,2020326
103,1,1,2018401
104,1,2,2023673
105,1,3,2049596
106,1,4,2044517
107,1,5,2044339
108,1,6,2111060
109,1,7,2122832
110,1,8,2105618
111,1,9,2097690
112,1,10,2100262
113,1,11,2084169
114,1,12,2075836
115,1,13,2128914
116,1,14,2164924
117,1,15,2129062
118,1,16,2131425
119,1,17,2139361
120,1,18,2165744
121,1,19,2221910
122,1,20,2271216
123,1,21,2312917
124,1,22,2370459
125,1,23,2402294
126,1,24,2393037
127,1,25,2296875
128,1,26,2240881
129,1,27,2201518
130,1,28,2208749
131,1,29,2219872
132,1,30,2142240
133,1,31,2171839
134,1,32,2167557
135,1,33,2141552
136,1,34,2192877
137,1,35,2047877
138,1,36,2005880
139,1,37,1979888
140,1,38,1923133
141,1,39,1986712
142,1,40,1917201
143,1,41,1941203
144,1,42,2032207
145,1,43,2147960
146,1,44,2184448
147,1,45,2067426
148,1,46,2023033
149,1,47,2019517
150,1,48,2058392
151,1,49,2180214
152,1,50,2211767
153,1,51,2205399
154,1,52,2197801
155,1,53,2219328
156,1,54,2242757
157,1,55,2158427
158,1,56,2140940
159,1,57,2109804
160,1,58,2027452
161,1,59,2006587
162,1,60,1913729
163,1,61,1836656
164,1,62,1762880
165,1,63,1701014
166,1,64,1660815
167,1,65,1606772
168,1,66,1588723
169,1,67,1652998
170,1,68,1211278
171,1,69,1186872
172,1,70,1148508
173,1,71,1169115
